num_chains,chain_length,starting_state,bathroom_all,bedroom_all,den_all,entry_all,hall_all,kitchen_all,office_all,pantry_all,school_all,bathroom_end,bedroom_end,den_end,entry_end,hall_end,kitchen_end,office_end,pantry_end,school_end
100,1000,kitchen,6119,15205,22601,7609,18185,16469,5104,5027,3681,3,18,20,7,16,19,6,8,3
100,1000,pantry,6107,15251,22525,7377,18103,16716,4981,5187,3753,5,17,25,5,18,18,7,3,2
100,1000,school,5959,15011,22743,7666,18124,16565,5158,4932,3842,5,16,18,10,21,16,3,6,5
100,1000,office,5817,14758,22941,7692,18114,16714,5172,5064,3728,3,17,20,1,15,25,7,7,5
100,1000,entry,6115,15291,22707,7523,18372,16397,4983,4958,3654,5,14,16,14,19,18,6,3,5
100,10000,kitchen,61018,152368,227534,75253,182397,165068,50069,49438,36855,2,17,29,7,17,11,5,6,6
100,10000,pantry,61078,152587,227813,75720,182586,164657,49780,49656,36123,6,15,19,16,16,17,3,6,2
100,10000,school,60856,151825,228420,75492,182717,164716,50102,49263,36609,5,21,26,6,15,14,6,4,3
100,10000,office,60878,151640,228175,75606,182037,165321,50069,49674,36600,7,11,21,9,17,17,8,5,5
100,10000,entry,60797,152048,227469,75650,182334,165165,50066,49875,36596,6,12,26,8,18,19,4,5,2
100,10000,den,59984,151134,228011,75807,182005,165953,50401,49729,36976,8,10,24,10,13,18,4,8,5
100,10000,hall,60985,152202,227525,75592,182137,165433,49792,50072,36262,6,15,29,4,21,12,8,4,1
100,10000,bedroom,60854,152050,228817,75400,182806,165064,49396,49371,36242,6,16,27,8,17,16,3,4,3
100,10000,bathroom,60724,151734,227934,75401,182238,165578,49900,49687,36804,3,16,26,5,26,11,5,6,2
100,10000,kitchen,60819,152391,227397,75522,182421,165267,49889,50065,36229,4,10,23,6,24,13,12,5,3
100,10000,pantry,60609,151298,228525,76003,182027,165231,50051,49704,36552,5,16,21,10,14,23,3,4,4
100,10000,school,61008,152341,228276,75571,182892,164363,49844,49196,36509,7,11,26,10,18,17,5,5,1
100,10000,office,60946,151957,227688,75824,181479,165622,50168,49708,36608,3,20,20,6,18,20,4,6,3
100,10000,entry,60895,152165,228050,75480,182535,164713,50138,49265,36759,5,10,30,10,15,15,6,6,3
100,10000,den,60769,152109,228457,75395,183057,164671,49966,49337,36239,5,14,29,9,19,13,5,3,3
100,10000,hall,61117,152151,227580,75872,181681,165193,50187,49595,36624,7,24,19,7,16,17,2,5,3
100,10000,bedroom,60653,151918,228040,75475,182668,165131,49946,49577,36592,5,18,22,8,14,18,2,4,9
100,10000,bathroom,61166,152057,228214,75890,182269,164528,50301,49013,36562,9,11,21,12,14,16,7,7,3
100,10000,kitchen,60375,151196,228563,75649,182148,165663,50111,49574,36721,5,10,27,6,17,23,5,4,3
